station,valid,metar
BOS,8/25/2020 20:54,KBOS 252054Z 28016G26KT 10SM FEW060 FEW120 BKN250 30/16 A2961 RMK AO2 PK WND 27026/2047 SLP026 T03000156 56017
BOS,8/25/2020 21:54,KBOS 252154Z 27018G22KT 10SM FEW055 SCT250 29/16 A2961 RMK AO2 PK WND 26026/2104 SLP027 T02940156
BOS,8/25/2020 22:45,KBOS 252245Z 33018G24KT 10SM BKN060 BKN250 26/15 A2965 RMK AO2 WSHFT 2225 LTG DSNT E T02610150
BOS,8/25/2020 22:54,KBOS 252254Z 34015G23KT 10SM BKN060 BKN250 26/15 A2966 RMK AO2 WSHFT 2225 SLP042 T02560150
BOS,8/25/2020 23:54,KBOS 252354Z 32012KT 10SM SCT070 SCT100 SCT250 25/14 A2968 RMK AO2 SLP050 T02500144 10317 20250 53024
BOS,8/26/2020 0:54,KBOS 260054Z 32011KT 10SM BKN100 24/14 A2971 RMK A02 SLP059 T02440144
BOS,8/26/2020 1:54,KBOS 260154Z 33017G23KT 10SM FEW060 SCT100 23/13 A2974 RMK AO2 SLP070 T02330133
BOS,8/26/2020 2:54,KBOS 260254Z 33011KT 10SM FEW065 FEW100 22/12 A2976 RMK AO2 PK WND 32028/0232 SLP076 T02220122 51025
BOS,8/26/2020 3:54,KBOS 260354Z 32014G24KT 10SM CLR 21/10 A2977 RMK AO2 PK WND 33026/0309 SLP082 T02110100
BOS,8/26/2020 4:54,KBOS 260454Z 32013G22KT 10SM FEW065 20/10 A2979 RMK AO2 PK WND 34026/0423 SLP087 T02000100 403170200
BOS,8/26/2020 5:54,KBOS 260554Z 32013G21KT 10SM CLR 19/09 A2980 RMK A02 PK WND 31026/0514 SLP091 T01940089 10250 20194 51015
BOS,8/26/2020 6:54,KBOS 260654Z 32013G21KT 10SM CLR 18/08 A2981 RMK AO2 SLP094 T01830083
BOS,8/26/2020 7:54,KBOS 260754Z 30012KT 260V330 10SM CLR 18/08 A2982 RMK AO2 SLP096 T01780083
BOS,8/26/2020 8:54,KBOS 260854Z 30010KT 10SM CLR 17/08 A2983 RMK AO2 SLP101 T01720078 53010
BOS,8/26/2020 9:54,KBOS 260954Z 30010KT 10SM FEW050 17/08 A2986 RMK AO2 SLP111 T01670078
BOS,8/26/2020 10:54,KBOS 261054Z 29010KT 10SM FEW050 17/08 A2987 RMK AO2 SLP116 T01670078
BOS,8/26/2020 11:54,KBOS 261154Z 31014KT 10SM FEW050 BKN250 17/06 A2989 RMK AO2 SLP120 T01720061 10194 20161 51019
BOS,8/26/2020 12:54,KBOS 261254Z 33013G23KT 10SM FEW050 FEW200 SCT250 18/06 A2988 RMK AO2 SLP116 T01780056
BOS,8/26/2020 13:54,KBOS 261354Z 35015G21KT 10SM FEW050 SCT200 BKN250 19/06 A2987 RMK AO2 SLP116 T01890056
BOS,8/26/2020 14:54,KBOS 261454Z 31012KT 10SM FEW050 BKN200 BKN250 19/04 A2988 RMK AO2 SLP119 T01890044 55002
BOS,8/26/2020 15:54,KBOS 261554Z 29013KT 10SM FEW050 SCT200 SCT250 19/05 A2988 RMK AO2 SLP118 T01940050
BOS,8/26/2020 16:54,KBOS 261654Z 30009G19KT 10SM FEW050 FEW250 21/04 A2986 RMK AO2 SLP110 T02060044
BOS,8/26/2020 17:54,KBOS 261754Z 32012KT 10SM FEW050 FEW250 22/05 A2983 RMK AO2 SLP102 T02170050 10222 20172 58017
BOS,8/26/2020 18:54,KBOS 261854Z 27012G16KT 10SM FEW250 23/06 A2982 RMK AO2 SLP096 T02280056
BOS,8/26/2020 19:54,KBOS 261954Z 28012KT 10SM FEW250 24/02 A2981 RMK AO2 SLP093 T02390022
BOS,8/26/2020 20:54,KBOS 262054Z 27012G19KT 10SM FEW035 FEW250 24/03 A2979 RMK A02 SLP088 T02390033 56014
BOS,8/26/2020 21:54,KBOS 262154Z 29012G19KT 10SM SCT250 23/04 A2980 RMK AO2 SLP092 T02330039
BOS,8/26/2020 22:54,KBOS 262254Z 29014G21KT 10SM BKN250 23/03 A2980 RMK AO2 SLP091 T02280033
BOS,8/26/2020 23:54,KBOS 262354Z 30010KT 10SM SCT180 BKN250 21/02 A2981 RMK AO2 SLP096 T02110022 10239 20211 53007
BOS,8/27/2020 0:54,KBOS 270054Z 28009KT 10SM SCT180 BKN250 21/04 A2983 RMK AO2 SLP100 T02060039
BOS,8/27/2020 1:54,KBOS 270154Z 28010KT 10SM FEW180 BKN250 20/06 A2983 RMK AO2 SLP102 T02000056
BOS,8/27/2020 2:54,KBOS 270254Z 29009KT 10SM FEW180 BKN250 19/06 A2984 RMK AO2 SLP105 T01940061 51009
BOS,8/27/2020 3:54,KBOS 270354Z 28010KT 10SM FEW180 BKN250 18/07 A2986 RMK AO2 SLP110 T01830067
BOS,8/27/2020 4:54,KBOS 270454Z 31009KT 10SM FEW200 BKN250 18/07 A2986 RMK AO2 SLP111 T01830067 402390161
BOS,8/27/2020 5:54,KBOS 270554Z 31008KT 10SM BKN250 17/07 A2985 RMK AO2 SLP106 T01720067 10211 20172 50002
BOS,8/27/2020 6:54,KBOS 270654Z 32007KT 10SM SCT150 BKN250 17/06 A2984 RMK AO2 SLP103 T01670056
BOS,8/27/2020 7:54,KBOS 270754Z 33006KT 10SM BKN150 BKN250 17/05 A2983 RMK AO2 SLP100 T01670050
BOS,8/27/2020 8:54,KBOS 270854Z 34004KT 10SM OVC130 17/06 A2983 RMK AO2 SLP099 T01670056 56007
BOS,8/27/2020 9:54,KBOS 270954Z 28007KT 10SM BKN130 OVC250 17/06 A2984 RMK AO2 SLP104 T01670056
BOS,8/27/2020 10:54,KBOS 271054Z 26007KT 10SM BKN120 OVC250 17/07 A2985 RMK AO2 SLP106 T01670067
BOS,8/27/2020 11:54,KBOS 271154Z 27007KT 10SM BKN100 OVC200 17/08 A2984 RMK AO2 SLP105 T01720078 10172 20161 50006
BOS,8/27/2020 12:54,KBOS 271254Z 26007KT 10SM BKN095 OVC200 18/07 A2982 RMK AO2 SLP098 T01780072
BOS,8/27/2020 13:54,KBOS 271354Z 15003KT 10SM BKN110 OVC160 18/09 A2978 RMK AO2 SLP085 T01780089
BOS,8/27/2020 14:54,KBOS 271454Z 24007KT 10SM FEW065 BKN110 BKN140 OVC200 19/08 A2980 RMK AO2 RAB45E54 PRESRR SLP091 P0000 60000 T01890083 55014
BOS,8/27/2020 15:54,KBOS 271554Z 22006KT 10SM BKN043 OVC110 18/08 A2976 RMK AO2 SLP076 T01830078
BOS,8/27/2020 16:54,KBOS 271654Z 17003KT 10SM SCT037 BKN090 OVC140 19/09 A2973 RMK AO2 SLP068 T01890089
BOS,8/27/2020 17:32,KBOS 271732Z 25005KT 7SM -RA BKN029 OVC040 19/09 A2975 RMK AO2 RAB21 P0000 T01890089
BOS,8/27/2020 17:54,KBOS 271754Z 16005KT 3SM RA BR SCT029 BKN065 OVC100 17/12 A2971 RMK AO2 RAB21 SLP058 P0004 60004 T01670117 10189 20167 56033 $
BOS,8/27/2020 18:54,KBOS 271854Z 14004KT 7SM -RA SCT040 BKN095 OVC130 17/14 A2968 RMK AO2 LTG DSNT S SLP050 P0012 T01670139 $
BOS,8/27/2020 19:16,KBOS 271916Z 04003KT 8SM -RA BKN025 BKN045 OVC110 17/13 A2970 RMK AO2 P0001 T01670133 $
BOS,8/27/2020 19:54,KBOS 271954Z 06003KT 10SM FEW025 BKN065 OVC130 17/14 A2969 RMK AO2 RAE43 SLP054 P0002 T01670139 $
